date,experimenter,mouse
2025-04-30,rowan,Pearl_189
2025-05-02,rowan,Cacti_1
2025-05-06,rowan,Cat_226
2025-05-06,rowan,Cat_227
2025-05-09,rowan,Cat_226
2025-05-09,rowan,Cat_227
2025-05-12,rowan,Cat_226
2025-05-12,rowan,Cat_227
2025-05-14,rowan,Cat_226
2025-05-14,rowan,Cat_227
2025-05-15,rowan,Cat_228
2025-05-15,rowan,Cat_229
2025-05-20,rowan,Cat_228
2025-05-20,rowan,Cat_229
2025-05-24,rowan,Cat_228
2025-05-24,rowan,Cat_229
2025-05-27,rowan,Cat_228
2025-05-27,rowan,Cat_229
2025-06-02,rowan,Cacti_223
2025-06-02,rowan,Cacti_225
2025-06-06,rowan,Cacti_223
2025-06-06,rowan,Cacti_224
